Date,Year,Weekday,Travelers,logTravelers,Time
3/3/2020,2020,3,1736393,14.367320531,369
3/4/2020,2020,4,1877401,14.445398932,370
3/5/2020,2020,5,2130015,14.57163958,371
3/6/2020,2020,6,2198517,14.6032936,372
3/7/2020,2020,7,1844811,14.427887391,373
3/8/2020,2020,1,2119867,14.566863909,374
3/9/2020,2020,2,1909363,14.462280237,375
3/10/2020,2020,3,1617220,14.296219184,376
3/11/2020,2020,4,1702686,14.347717562,377
3/12/2020,2020,5,1788456,14.396863236,378
3/13/2020,2020,6,1714372,14.354557391,379
3/14/2020,2020,7,1485553,14.211297651,380
3/15/2020,2020,1,1519192,14.233689173,381
3/16/2020,2020,2,1257823,14.044893007,382
3/17/2020,2020,3,953699,13.768103387,383
3/18/2020,2020,4,779631,13.56657601,384
3/19/2020,2020,5,620883,13.338897937,385
3/20/2020,2020,6,593167,13.293231257,386
3/21/2020,2020,7,548132,13.214271413,387
3/22/2020,2020,1,454516,13.026988396,388
3/23/2020,2020,2,331431,12.711174922,389
3/24/2020,2020,3,279018,12.539031575,390
3/25/2020,2020,4,239234,12.385197431,391
3/26/2020,2020,5,203858,12.225178952,392
3/27/2020,2020,6,199644,12.204291059,393
3/28/2020,2020,7,184027,12.122837765,394
3/29/2020,2020,1,180002,12.100723241,395
3/30/2020,2020,2,154080,11.945227227,396
3/31/2020,2020,3,146348,11.893742626,397
4/1/2020,2020,4,136023,11.820579268,398
4/2/2020,2020,5,124021,11.728206185,399
4/3/2020,2020,6,129763,11.773464989,400
4/4/2020,2020,7,118302,11.680995956,401
4/5/2020,2020,1,122029,11.712014,402
4/6/2020,2020,2,108310,11.592752765,403
4/7/2020,2020,3,97130,11.483805566,404
4/8/2020,2020,4,94931,11.460905591,405
4/9/2020,2020,5,104090,11.553011189,406
4/10/2020,2020,6,108977,11.59889213,407
4/11/2020,2020,7,93645,11.447266316,408
4/12/2020,2020,1,90510,11.413215621,409
4/13/2020,2020,2,102184,11.534530389,410
4/14/2020,2020,3,87534,11.379782568,411
4/15/2020,2020,4,90784,11.416238338,412
4/16/2020,2020,5,95085,11.462526507,413
4/17/2020,2020,6,106385,11.574819869,414
4/18/2020,2020,7,97236,11.484896292,415
4/19/2020,2020,1,105382,11.565347123,416
4/20/2020,2020,2,99344,11.506343854,417
4/21/2020,2020,3,92859,11.438837493,418
4/22/2020,2020,4,98968,11.502551845,419
4/23/2020,2020,5,111627,11.622918235,420
4/24/2020,2020,6,123464,11.723704895,421
4/25/2020,2020,7,114459,11.647971959,422
4/26/2020,2020,1,128875,11.766598221,423
4/27/2020,2020,2,119854,11.694029614,424
4/28/2020,2020,3,110913,11.616501389,425
4/29/2020,2020,4,119629,11.692150566,426
4/30/2020,2020,5,154695,11.949210715,427
5/1/2020,2020,6,171563,12.052705825,428
5/2/2020,2020,7,134261,11.807540946,429
5/3/2020,2020,1,170254,12.045046719,430
5/4/2020,2020,2,163692,12.005741892,431
5/5/2020,2020,3,130601,11.779902153,432
5/6/2020,2020,4,140409,11.852314871,433
5/7/2020,2020,5,190863,12.159311172,434
5/8/2020,2020,6,215444,12.280456294,435
5/9/2020,2020,7,169580,12.041080071,436
5/10/2020,2020,1,200815,12.210139365,437
5/11/2020,2020,2,215645,12.281388816,438
5/12/2020,2020,3,163205,12.002762358,439
5/13/2020,2020,4,176667,12.082021884,440
5/14/2020,2020,5,234928,12.367034363,441
5/15/2020,2020,6,250467,12.431082454,442
5/16/2020,2020,7,193340,12.172205576,443
5/17/2020,2020,1,253807,12.444329415,444
5/18/2020,2020,2,244176,12.405644556,445
5/19/2020,2020,3,190477,12.157286731,446
5/20/2020,2020,4,230367,12.347428968,447
5/21/2020,2020,5,318449,12.671217616,448
5/22/2020,2020,6,348673,12.761889799,449
5/23/2020,2020,7,253190,12.441895474,450
5/24/2020,2020,1,267451,12.496691651,451
5/25/2020,2020,2,340769,12.738960107,452
5/26/2020,2020,3,264843,12.486892477,453
5/27/2020,2020,4,261170,12.472926815,454
5/28/2020,2020,5,321776,12.68161093,455
5/29/2020,2020,6,327133,12.698122095,456
5/30/2020,2020,7,268867,12.501972113,457
5/31/2020,2020,1,352947,12.774073183,458
6/1/2020,2020,2,353261,12.774962439,459
6/2/2020,2020,3,267742,12.497779109,460
6/3/2020,2020,4,304436,12.626216163,461
6/4/2020,2020,5,391882,12.878716053,462
6/5/2020,2020,6,419675,12.947235881,463
6/6/2020,2020,7,353016,12.774268661,464
6/7/2020,2020,1,441255,12.997378219,465
6/8/2020,2020,2,430414,12.972502815,466
6/9/2020,2020,3,338382,12.731930714,467
6/10/2020,2020,4,386969,12.866099865,468
6/11/2020,2020,5,502209,13.126771647,469
6/12/2020,2020,6,519304,13.160244732,470
6/13/2020,2020,7,437119,12.987960748,471
6/14/2020,2020,1,544046,13.206789081,472
6/15/2020,2020,2,534528,13.189139393,473
6/16/2020,2020,3,417924,12.943054877,474
6/17/2020,2020,4,441829,12.998678208,475
6/18/2020,2020,5,576514,13.264754903,476
6/19/2020,2020,6,587908,13.284325752,477
6/20/2020,2020,7,507129,13.136520688,478
6/21/2020,2020,1,590456,13.288650399,479
6/22/2020,2020,2,607540,13.317173296,480
6/23/2020,2020,3,471421,13.063506817,481
6/24/2020,2020,4,494826,13.111961465,482
6/25/2020,2020,5,623624,13.343302902,483
6/26/2020,2020,6,632984,13.358200424,484
6/27/2020,2020,7,546310,13.210941859,485
6/28/2020,2020,1,633810,13.359504504,486
6/29/2020,2020,2,625235,13.345882858,487
6/30/2020,2020,3,500054,13.122471372,488
7/1/2020,2020,4,626516,13.347929592,489
7/2/2020,2020,5,764761,13.547318646,490
7/3/2020,2020,6,718988,13.485599947,491
7/4/2020,2020,7,466669,13.053375506,492
7/5/2020,2020,1,732123,13.503703812,493
7/6/2020,2020,2,755555,13.535207858,494
7/7/2020,2020,3,641761,13.371971239,495
7/8/2020,2020,4,632498,13.357432338,496
7/9/2020,2020,5,709653,13.472531397,497
7/10/2020,2020,6,711124,13.474602096,498
7/11/2020,2020,7,656284,13.394348901,499
7/12/2020,2020,1,754545,13.533870198,500
7/13/2020,2020,2,697985,13.455952892,501
7/14/2020,2020,3,540268,13.199820592,502
7/15/2020,2020,4,589285,13.286665217,503
7/16/2020,2020,5,706164,13.467602784,504
7/17/2020,2020,6,720378,13.487531353,505
7/18/2020,2020,7,646654,13.379566655,506
7/19/2020,2020,1,747422,13.524385231,507
7/20/2020,2020,2,695330,13.452141832,508
7/21/2020,2020,3,530421,13.18142631,509
7/22/2020,2020,4,570951,13.255058671,510
7/23/2020,2020,5,704815,13.465690636,511
7/24/2020,2020,6,724770,13.493609642,512
7/25/2020,2020,7,649027,13.383229597,513
7/26/2020,2020,1,751205,13.529433863,514
7/27/2020,2020,2,700043,13.458897041,515
7/28/2020,2020,3,536756,13.193298894,516
7/29/2020,2020,4,573200,13.258989975,517
7/30/2020,2020,5,718310,13.48465651,518
7/31/2020,2020,6,767320,13.550659203,519
8/1/2020,2020,7,709033,13.471657349,520
8/2/2020,2020,1,799861,13.592193242,521
8/3/2020,2020,2,737235,13.510661981,522
8/4/2020,2020,3,543601,13.205970801,523
8/5/2020,2020,4,595739,13.297557931,524
8/6/2020,2020,5,743599,13.51925719,525
8/7/2020,2020,6,762547,13.544419425,526
8/8/2020,2020,7,683212,13.434560486,527
8/9/2020,2020,1,831789,13.631334082,528
8/10/2020,2020,2,761861,13.543519403,529
8/11/2020,2020,3,559420,13.234655812,530
8/12/2020,2020,4,590749,13.289146502,531
8/13/2020,2020,5,761821,13.543466899,532
8/14/2020,2020,6,783744,13.571837715,533
8/15/2020,2020,7,689895,13.444294691,534
8/16/2020,2020,1,862949,13.668110872,535
8/17/2020,2020,2,773319,13.55844692,536
8/18/2020,2020,3,565946,13.246253946,537
8/19/2020,2020,4,586718,13.282299575,538
8/20/2020,2020,5,772380,13.557231936,539
8/21/2020,2020,6,764468,13.546935446,540
8/22/2020,2020,7,625822,13.346821265,541
8/23/2020,2020,1,841806,13.643304863,542
8/24/2020,2020,2,726788,13.496390105,543
8/25/2020,2020,3,523186,13.16769232,544
8/26/2020,2020,4,540043,13.199404045,545
8/27/2020,2020,5,721060,13.488477631,546
8/28/2020,2020,6,738873,13.512881331,547
8/29/2020,2020,7,591734,13.290812489,548
8/30/2020,2020,1,807695,13.601939791,549
8/31/2020,2020,2,711178,13.474678029,550
9/1/2020,2020,3,516068,13.153993819,551
9/2/2020,2020,4,578131,13.267555766,552
9/3/2020,2020,5,877698,13.68505785,553
9/4/2020,2020,6,968673,13.783682373,554
9/5/2020,2020,7,664640,13.40700082,555
9/6/2020,2020,1,689630,13.443910501,556
9/7/2020,2020,2,935308,13.748631166,557
9/8/2020,2020,3,704075,13.464640164,558
9/9/2020,2020,4,616923,13.332499498,559
9/10/2020,2020,5,755051,13.534540576,560
9/11/2020,2020,6,731353,13.502651522,561
9/12/2020,2020,7,613703,13.327266377,562
9/13/2020,2020,1,809850,13.604604324,563
9/14/2020,2020,2,729558,13.50019415,564
9/15/2020,2020,3,522383,13.166156314,565
9/16/2020,2020,4,577847,13.267064407,566
9/17/2020,2020,5,784746,13.573115378,567
9/18/2020,2020,6,812214,13.607519131,568
9/19/2020,2020,7,638575,13.36699441,569
9/20/2020,2020,1,847968,13.650598178,570
9/21/2020,2020,2,769936,13.554062673,571
9/22/2020,2020,3,549741,13.217202537,572
9/23/2020,2020,4,608726,13.319123528,573
9/24/2020,2020,5,826316,13.624732546,574
9/25/2020,2020,6,826329,13.624748278,575
9/26/2020,2020,7,659350,13.39900978,576
9/27/2020,2020,1,873038,13.679734362,577
9/28/2020,2020,2,797699,13.589486612,578
9/29/2020,2020,3,568688,13.251087232,579
9/30/2020,2020,4,634046,13.359876786,580
10/1/2020,2020,5,855908,13.659918173,581
10/2/2020,2020,6,857186,13.66141021,582
10/3/2020,2020,7,677661,13.426402442,583
10/4/2020,2020,1,900911,13.711161753,584
10/5/2020,2020,2,816838,13.613196068,585
10/6/2020,2020,3,590766,13.289175279,586
10/7/2020,2020,4,668519,13.412820097,587
