Year,Month,Sales,logSales,c348,s348,c432,s432,Dynamic
2000,1,4381,8.3850322878,0.0376901827,-0.999289473,0.8235325976,-0.567268949,0
2000,2,5327,8.5805435069,0.7939903986,0.6079302977,-0.514439534,0.8575266562,0
2000,3,5434,8.60043079,-0.954864545,0.2970415816,0.1128563849,-0.993611311,0
2000,4,4841,8.4848765899,0.3090169944,-0.951056516,0.3090169944,0.9510565163,0
2000,5,4986,8.5143892641,0.5979049831,0.8015669849,-0.675332808,-0.737513117,0
2000,6,5161,8.5488856381,-0.999684189,0.0251300954,0.9202318474,0.3913736668,0
2000,7,4989,8.5149907679,0.5568756165,-0.830595899,-0.999684189,0.0251300954,0
2000,8,5089,8.5348366266,0.3564118787,0.9343289425,0.8994052516,-0.437115767,0
2000,9,4860,8.4887937169,-0.968583161,-0.248689887,-0.63742399,0.7705132428,0
2000,10,4574,8.4281433746,0.762442511,-0.647055962,0.2608415063,-0.965381639,0
2000,11,4089,8.3160557204,0.0878511966,0.9961336091,0.1626371652,0.9866859442,0
2000,12,3928,8.2758856695,-0.863923417,-0.503623202,-0.556875616,-0.830595899,0
2001,1,4648,8.4441922985,0.9101059707,-0.414375581,0.8509944818,0.52517463,0
2001,2,4917,8.5004538674,-0.187381315,0.9822872507,-0.992114701,-0.125333234,0
2001,3,5359,8.5865326695,-0.693653306,-0.720309025,0.9548645447,-0.297041582,0
2001,4,4991,8.5153915695,0.9886517447,-0.150225589,-0.745941145,0.6660118674,0
2001,5,5390,8.5923006639,-0.448383216,0.8938414242,0.4029064357,-0.915241173,0
2001,6,5169,8.5504345252,-0.470703932,-0.882291226,0.0125660399,0.9999210442,0
2001,7,4906,8.4982142248,0.9921147013,0.1253332336,-0.425779292,-0.904827052,0
2001,8,5142,8.5451973878,-0.675332808,0.7375131174,0.762442511,0.6470559616,0
2001,9,4291,8.364275085,-0.21200711,-0.977268124,-0.962027672,-0.272951936,0
2001,10,4903,8.4976025417,0.9202318474,0.3913736668,0.9886517447,-0.150225589,0
2001,11,4444,8.3993101508,-0.850994482,0.52517463,-0.83752804,0.5463943467,0
2001,12,4103,8.3194736924,0.0627905195,-0.998026728,0.535826795,-0.844327926,0
2002,1,4802,8.4767877768,0.7784623016,0.6276913613,-0.137790291,0.9904614257,0
2002,2,5226,8.5614014461,-0.962027672,0.2729519355,-0.285019262,-0.958521789,0
2002,3,5212,8.5587189382,0.3328195445,-0.942990536,0.6565857558,0.7542513807,0
2002,4,5260,8.5678863057,0.5775727034,0.8163392507,-0.910105971,-0.414375581,0
2002,5,5342,8.5833553937,-1,2.8418e-14,1,-2.7437e-14,0
2002,6,5199,8.5562215784,0.5775727034,-0.816339251,-0.910105971,0.414375581,0
2002,7,5229,8.5619753342,0.3328195445,0.9429905359,0.6565857558,-0.754251381,0
2002,8,5542,8.6201107254,-0.962027672,-0.272951936,-0.285019262,0.958521789,0
2002,9,4855,8.4877643807,0.7784623016,-0.627691361,-0.137790291,-0.990461426,0
2002,10,5143,8.5453918458,0.0627905195,0.9980267284,0.535826795,0.8443279255,0
2002,11,4736,8.4629481766,-0.850994482,-0.52517463,-0.83752804,-0.546394347,0
2002,12,4377,8.3841188372,0.9202318474,-0.391373667,0.9886517447,0.1502255891,0
2003,1,5209,8.5581431777,-0.21200711,0.9772681236,-0.962027672,0.2729519355,0
2003,2,5477,8.6083127848,-0.675332808,-0.737513117,0.762442511,-0.647055962,0
2003,3,5877,8.6788017066,0.9921147013,-0.125333234,-0.425779292,0.9048270525,0
2003,4,5572,8.6255093349,-0.470703932,0.8822912264,0.0125660399,-0.999921044,0
2003,5,5586,8.6280187465,-0.448383216,-0.893841424,0.4029064357,0.9152411726,0
2003,6,5324,8.5799801795,0.9886517447,0.1502255891,-0.745941145,-0.666011867,0
2003,7,5466,8.6063023665,-0.693653306,0.7203090249,0.9548645447,0.2970415816,0
2003,8,5494,8.6114118667,-0.187381315,-0.982287251,-0.992114701,0.1253332336,0
2003,9,5072,8.5314904961,0.9101059707,0.414375581,0.8509944818,-0.52517463,0
2003,10,5014,8.5199892787,-0.863923417,0.5036232016,-0.556875616,0.8305958992,0
2003,11,4528,8.4180356199,0.0878511966,-0.996133609,0.1626371652,-0.986685944,0
2003,12,4436,8.3975083485,0.762442511,0.6470559616,0.2608415063,0.9653816388,0
2004,1,5053,8.5277374053,-0.968583161,0.2486898872,-0.63742399,-0.770513243,0
2004,2,5538,8.6193887037,0.3564118787,-0.934328942,0.8994052516,0.4371157667,0
2004,3,6055,8.708639656,0.5568756165,0.8305958992,-0.999684189,-0.025130095,0
2004,4,5564,8.624072553,-0.999684189,-0.025130095,0.9202318474,-0.391373667,0
2004,5,5882,8.6796521191,0.5979049831,-0.801566985,-0.675332808,0.7375131174,0
2004,6,5548,8.6211927814,0.3090169944,0.9510565163,0.3090169944,-0.951056516,0
2004,7,5773,8.6609471551,-0.954864545,-0.297041582,0.1128563849,0.9936113105,0
2004,8,5948,8.6908103076,0.7939903986,-0.607930298,-0.514439534,-0.857526656,0
2004,9,5546,8.6208322262,0.0376901827,0.9992894726,0.8235325976,0.5672689491,0
2004,10,5785,8.6630236396,-0.83752804,-0.546394347,-0.984564335,-0.175023059,0
2004,11,5481,8.609042845,0.9297764859,-0.368124553,0.9685831611,-0.248689887,0
2004,12,5348,8.5844779382,-0.236498997,0.9716317329,-0.778462302,0.6276913613,0
2005,1,5803,8.6661303042,-0.656585756,-0.754251381,0.4483832161,-0.893841424,0
2005,2,6480,8.7764757893,0.994951017,-0.100361715,-0.037690183,0.9992894726,0
2005,3,6602,8.7951279124,-0.492727342,0.8701837547,-0.379779096,-0.925077207,0
2005,4,6036,8.7054968199,-0.425779292,-0.904827052,0.7289686274,0.6845471059,0
2005,5,5955,8.6919864818,0.9845643345,0.175023059,-0.947098305,-0.32094361,0
2005,6,6018,8.7025102572,-0.711535677,0.7026499698,0.994951017,-0.100361715,0
2005,7,6080,8.712759975,-0.162637165,-0.986685944,-0.863923417,0.5036232016,0
2005,8,6419,8.7670176213,0.8994052516,0.4371157667,0.5775727034,-0.816339251,0
2005,9,5684,8.6454104892,-0.87630668,0.4817536741,-0.187381315,0.9822872507,0
2005,10,5597,8.6299860189,0.1128563849,-0.993611311,-0.236498997,-0.971631733,0
2005,11,5325,8.5801679906,0.7459411454,0.6660118674,0.6178596131,0.7862884321,0
2005,12,5125,8.541885804,-0.974526873,0.2242707609,-0.888136449,-0.459579861,0
2006,1,5811,8.6675079521,0.3797790955,-0.925077207,0.9987369566,0.0502443182,0
2006,2,6245,8.7395364226,0.535826795,0.8443279255,-0.929776486,0.3681245527,0
2006,3,7009,8.8549503165,-0.998736957,-0.050244318,0.6936533058,-0.720309025,0
2006,4,6470,8.7749313875,0.6178596131,-0.786288432,-0.332819545,0.9429905359,0
2006,5,6638,8.8005659923,0.2850192625,0.958521789,-0.087851197,-0.996133609,0
2006,6,6522,8.7829363563,-0.947098305,-0.32094361,0.4927273415,0.8701837547,0
2006,7,6371,8.7595117221,0.8090169944,-0.587785252,-0.809016994,-0.587785252,0
2006,8,6653,8.8028231597,0.0125660399,0.9999210442,0.9798550524,0.1997099805,0
2006,9,6204,8.7329495243,-0.823532598,-0.567268949,-0.974526873,0.2242707609,0
2006,10,6146,8.7235567427,0.9387338577,-0.344642923,0.7939903986,-0.607930298,0
2006,11,5634,8.6365749484,-0.260841506,0.9653816388,-0.470703932,0.8822912264,0
2006,12,5473,8.6075821911,-0.63742399,-0.770513243,0.0627905195,-0.998026728,0
2007,1,6089,8.7142391436,0.9971589003,-0.075326806,0.3564118787,0.9343289425,0
2007,2,6625,8.7986056509,-0.514439534,0.8575266562,-0.711535677,-0.70264997,0
2007,3,7276,8.8923365396,-0.402906436,-0.915241173,0.9387338577,0.3446429232,0
2007,4,6734,8.8149245997,0.9798550524,0.1997099805,-0.9971589,0.0753268055,0
2007,5,7186,8.8798899677,-0.728968627,0.6845471059,0.87630668,-0.481753674,0
2007,6,6850,8.8320039313,-0.137790291,-0.990461426,-0.597904983,0.8015669849,0
2007,7,6781,8.8218798627,0.8881364488,0.4595798606,0.2120071099,-0.977268124,0
2007,8,7310,8.8969985527,-0.888136449,0.4595798606,0.2120071099,0.9772681236,0
2007,9,6591,8.7934603611,0.1377902907,-0.990461426,-0.597904983,-0.801566985,0
2007,10,6583,8.7922458475,0.7289686274,0.6845471059,0.87630668,0.4817536741,0
2007,11,5957,8.6923222776,-0.979855052,0.1997099805,-0.9971589,-0.075326806,0
2007,12,5714,8.6506745828,0.4029064357,-0.915241173,0.9387338577,-0.344642923,0
2008,1,6544,8.7863038783,0.5144395338,0.8575266562,-0.711535677,0.7026499698,0
2008,2,7182,8.8793331748,-0.9971589,-0.075326806,0.3564118787,-0.934328942,0
2008,3,7291,8.8943959898,0.6374239897,-0.770513243,0.0627905195,0.9980267284,0
2008,4,6940,8.8450570535,0.2608415063,0.9653816388,-0.470703932,-0.882291226,0
2008,5,6683,8.8073222675,-0.938733858,-0.344642923,0.7939903986,0.6079302977,0
2008,6,6653,8.8028231597,0.8235325976,-0.567268949,-0.974526873,-0.224270761,0
2008,7,6286,8.7460802174,-0.01256604,0.9999210442,0.9798550524,-0.199709981,0
2008,8,6226,8.736489351,-0.809016994,-0.587785252,-0.809016994,0.5877852523,0
2008,9,5662,8.6415324657,0.947098305,-0.32094361,0.4927273415,-0.870183755,0
2008,10,5432,8.6000626692,-0.285019262,0.958521789,-0.087851197,0.9961336091,0
2008,11,4452,8.4011087124,-0.617859613,-0.786288432,-0.332819545,-0.942990536,0
2008,12,4561,8.4252971767,0.9987369566,-0.050244318,0.6936533058,0.7203090249,0
2009,1,5544,8.6204715409,-0.535826795,0.8443279255,-0.929776486,-0.368124553,0
2009,2,6088,8.7140748995,-0.379779096,-0.925077207,0.9987369566,-0.050244318,0
2009,3,6017,8.7023440752,0.9745268728,0.2242707609,-0.888136449,0.4595798606,0
2009,4,5652,8.6397647438,-0.745941145,0.6660118674,0.6178596131,-0.786288432,0
2009,5,5442,8.6019019193,-0.112856385,-0.993611311,-0.236498997,0.9716317329,0
2009,6,5654,8.6401185383,0.87630668,0.4817536741,-0.187381315,-0.982287251,0
2009,7,5477,8.6083127848,-0.899405252,0.4371157667,0.5775727034,0.8163392507,0
2009,8,5748,8.6566072472,0.1626371652,-0.986685944,-0.863923417,-0.503623202,0
2009,9,5195,8.5554519035,0.7115356772,0.7026499698,0.994951017,0.1003617149,0
2009,10,5199,8.5562215784,-0.984564335,0.175023059,-0.947098305,0.3209436098,0
