sales,time,month,logsales,obs96,c1,s1,c2,s2,c3,s3,c4,s4,c5,s5,c6,wtgrant
554,75,3,6.31716469,0,-2.5e-16,1,-1,-4.9e-16,-6.4e-15,-1,1,9.82e-16,-8.3e-15,1,-1,0
576,76,4,6.35610766,0,-0.5,0.866025,-0.5,-0.86603,1,-1.2e-14,-0.5,0.866025,-0.5,-0.86603,1,0
615,77,5,6.42162227,0,-0.86603,0.5,0.5,-0.86603,2.94e-15,1,-0.5,-0.86603,0.866025,0.5,-1,0
619,78,6,6.42810527,0,-1,5.14e-15,1,-1e-14,-1,8.33e-15,1,-2.1e-14,-1,1.86e-14,1,0
589,79,7,6.37842618,0,-0.86603,-0.5,0.5,0.866025,4.92e-16,-1,-0.5,0.866025,0.866025,-0.5,-1,0
637,80,8,6.45676966,0,-0.5,-0.86603,-0.5,0.866025,1,-4.9e-15,-0.5,-0.86603,-0.5,0.866025,1,0
601,81,9,6.39859493,0,-3.4e-15,-1,-1,6.86e-15,1.03e-14,1,1,-1.4e-14,-1.7e-14,-1,-1,0
642,82,10,6.4645883,0,0.5,-0.86603,-0.5,-0.86603,-1,1.57e-14,-0.5,0.866025,0.5,0.866025,1,0
737,83,11,6.60258789,0,0.866025,-0.5,0.5,-0.86603,7.35e-15,-1,-0.5,-0.86603,-0.86603,-0.5,-1,0
1279,84,12,7.1538338,0,1,-1.7e-15,1,-3.4e-15,1,1.96e-15,1,-6.9e-15,1,1.27e-14,1,0
490,85,1,6.19440539,0,0.866025,0.5,0.5,0.866025,3.43e-15,1,-0.5,0.866025,-0.86603,0.5,-1,0
490,86,2,6.19440539,0,0.5,0.866025,-0.5,0.866025,-1,8.82e-15,-0.5,-0.86603,0.5,-0.86603,1,0
598,87,3,6.39359075,0,7.1e-15,1,-1,1.42e-14,-1.4e-14,-1,1,-2.8e-14,1.42e-14,1,-1,0
615,88,4,6.42162227,0,-0.5,0.866025,-0.5,-0.86603,1,-2e-14,-0.5,0.866025,-0.5,-0.86603,1,0
681,89,5,6.52356231,0,-0.86603,0.5,0.5,-0.86603,-3.4e-15,1,-0.5,-0.86603,0.866025,0.5,-1,0
654,90,6,6.48310735,0,-1,-1.7e-15,1,3.43e-15,-1,1.96e-15,1,6.86e-15,-1,-1.6e-14,1,0
637,91,7,6.45676966,0,-0.86603,-0.5,0.5,0.866025,-7.3e-15,-1,-0.5,0.866025,0.866025,-0.5,-1,0
694,92,8,6.54247196,0,-0.5,-0.86603,-0.5,0.866025,1,-1.3e-14,-0.5,-0.86603,-0.5,0.866025,1,0
645,93,9,6.46925032,0,-3.7e-15,-1,-1,7.35e-15,1.81e-14,1,1,-1.5e-14,-1.1e-14,-1,-1,0
684,94,10,6.52795792,0,0.5,-0.86603,-0.5,-0.86603,-1,-4.9e-15,-0.5,0.866025,0.5,0.866025,1,0
749,95,11,6.61873898,0,0.866025,-0.5,0.5,-0.86603,-4.9e-16,-1,-0.5,-0.86603,-0.86603,-0.5,-1,0
1245,96,12,7.12689081,1,1,-2e-15,1,-3.9e-15,1,-5.9e-15,1,-7.8e-15,1,-9.8e-15,1,0
